,sampleID,P,pH,EC
0,110639,5.050000000000007,7.782116666666658,1.36
1,110645,4.965000000000005,7.759449999999992,1.14
2,110660,4.985028571428571,7.714692857142867,0.7933333333333334
3,110661,5.050000000000007,7.762116666666658,1.36
4,110662,5.07951832889333,7.668764646138182,0.94
5,110667,4.691058477633477,7.629163780663789,1.1233333333333333
6,110737,4.721166666666664,7.74538333333334,1.13
7,110740,4.957000000000005,7.759449999999992,1.14
8,110746,5.122999999999999,7.748666666666659,1.05
9,110752,6.255064285714285,7.777999999999994,0.825
10,110755,4.31051585081585,7.780739960039962,1.0885714285714287
11,110760,6.255064285714285,7.777999999999994,0.825
12,110761,5.122999999999999,7.610666666666663,1.02
13,110762,4.964133333333337,7.785666666666673,0.56
14,110768,5.262034523809525,7.721133333333338,1.42
15,110857,4.7655222222222235,7.840088095238099,0.7431666666666668
16,110868,5.36471681096681,7.662421428571426,1.7550000000000001
17,110869,4.965000000000005,7.759449999999992,1.14
18,110872,5.122999999999999,7.610666666666663,1.02
19,110873,5.240281107781108,7.830701587301588,0.8675
20,110902,5.732630952380953,7.80067222222222,0.91
21,110988,4.991464285714287,7.769090476190477,0.95
22,110989,4.404633333333333,7.7653067460317455,1.2
23,120910,5.1524432539682525,7.749234126984124,0.8624999999999999
24,122722,4.792525793650793,7.79622380952381,1.095
25,122723,4.842416666666672,7.731714285714287,0.625
26,122736,5.343189898989899,7.671612770562775,0.9099999999999999
27,122934,5.590955952380951,7.985171550671558,0.64
28,122935,5.137406360306362,7.963121933621932,0.705
29,122938,4.454905952380951,7.748783333333328,0.7563333333333334
30,122940,5.257300000000003,7.7268333333333326,0.88
31,122941,5.0977932539682556,7.600365151515157,0.925
32,123047,5.441914285714287,7.848511904761898,0.83125
33,123060,4.779000000000002,7.933000000000002,1.52
34,123062,6.255064285714285,7.777999999999994,0.825
35,123065,6.095200000000001,7.468999999999993,0.65
36,123572,4.724999999999999,7.926333333333328,0.81
37,123573,5.240281107781108,7.830701587301588,0.8675
38,123579,4.141999999999999,7.749999999999992,0.86
39,123580,4.615000000000004,7.9430000000000005,1.08
40,123583,4.758086904761911,7.909055952380953,0.9
41,123678,5.684804337329337,7.676513095238091,1.932
42,123680,5.122999999999999,7.748666666666659,1.05
43,123698,4.366202380952383,7.875009126984123,1.2966666666666666
44,123701,7.173513478188469,7.819239285714276,0.32
45,123707,5.679073737373736,8.05659047619048,0.585
46,123709,5.1992714285714285,7.814266666666656,1.53
47,123710,6.014507936507946,7.726677308802318,0.16
48,123711,5.286677777777782,7.988839285714286,0.9
49,123718,6.9144333333333385,7.8069999999999915,0.17
50,123719,4.18255555555556,7.928999999999993,0.88
51,123722,5.15403336940837,7.976317207792217,1.57
52,123723,4.840891666666669,7.914000000000007,1.52
53,123911,4.151199999999999,7.859804761904764,0.534
54,123918,4.824733333333336,7.76235000000001,1.22
55,123921,5.432873809523809,7.7345774531024505,1.24
56,123922,4.965000000000005,7.759449999999992,1.14
57,123923,5.195994444444443,7.8203285714285675,1.375
58,123930,4.615000000000004,7.9430000000000005,1.08
59,123939,5.122999999999999,7.748666666666659,1.05
60,123940,6.350632142857141,7.773649999999995,0.845
61,123949,5.565140079365079,7.744013949938957,1.885
62,123950,5.122999999999999,7.748666666666659,1.05
63,123956,5.879704761904758,7.68855,0.8833333333333333
64,123964,5.122999999999999,7.748666666666659,1.05
65,123976,7.173513478188469,7.819239285714276,0.32
66,123979,5.596383333333333,7.669166666666659,0.98
67,123981,5.122999999999999,7.748666666666659,1.05
68,123992,4.141999999999999,7.749999999999992,0.86
69,123998,6.283703176970089,7.675983316683318,2.1317500000000003
70,124000,6.168207864357863,7.889896825396819,0.6499999999999999
71,124002,5.122999999999999,7.748666666666659,1.05
72,124003,5.9911603174603165,7.807911507936511,1.4525
73,124006,5.915880952380952,7.718000000000006,0.81
74,124007,4.404633333333333,7.7653067460317455,1.2
75,124008,4.684507142857143,7.934150274725268,1.555
76,124185,4.945000000000002,7.956999999999999,1.52
77,124188,7.077566666666661,7.8125166666666646,1.22
78,124189,5.119519047619043,7.8266669191919105,0.18
79,124190,4.83586666666667,7.654999999999993,1.2
80,124200,5.807192857142854,7.78385952380953,0.649
81,124201,5.512209523809522,7.57054285714286,1.34
82,124202,5.262034523809525,7.721133333333338,1.42
83,124205,4.141999999999999,7.749999999999992,0.86
84,124206,6.350632142857141,7.773649999999995,0.845
85,124208,5.122999999999999,7.748666666666659,1.05
86,124216,5.016666666666667,7.9109999999999925,1.52
87,124226,5.679073737373736,8.05659047619048,0.585
88,124228,5.636500000000002,7.8245166666666774,1.1
89,124229,5.9220824023199,7.8373092352092355,0.788888888888889
90,124232,4.141999999999999,7.749999999999992,0.86
91,124233,5.088081709956713,7.690772943722944,0.9508333333333333
92,124234,4.970466666666668,7.911557539682547,1.0833333333333333
93,124236,4.104966666666664,7.982766666666664,1.26
94,124238,5.122999999999999,7.748666666666659,1.05
95,124239,5.112733333333337,7.6582833333333316,1.28
96,124240,5.122999999999999,7.748666666666659,1.05
97,124241,5.451283333333329,7.536999999999993,1.08
98,124243,4.141999999999999,7.749999999999992,0.86
99,124244,4.908999999999999,7.953000000000008,0.69
