,Formula_Index,OM_Value
318,450.0,0.5
319,450.0,0.5
320,528.0,0.4
321,528.0,0.4
322,528.0,0.4
323,528.0,0.4
324,465.0,0.4
325,465.0,0.4
326,530.0,0.4
327,530.0,0.4
328,508.0,0.4
329,508.0,0.4
330,437.0,0.4
331,437.0,0.4
332,533.0,0.4
333,533.0,0.4
334,463.0,0.4
335,463.0,0.4
336,488.0,0.3
337,488.0,0.3
338,478.0,0.3
339,478.0,0.3
340,371.0,0.6
341,371.0,0.6
342,338.0,0.6
343,338.0,0.6
344,419.0,0.4
345,419.0,0.4
346,384.0,0.4
347,384.0,0.4
348,488.0,0.5
349,488.0,0.5
350,485.0,0.5
351,485.0,0.5
352,452.0,0.5
353,452.0,0.5
354,431.0,0.5
355,431.0,0.5
356,402.0,0.7
357,402.0,0.7
358,487.0,0.7
359,487.0,0.7
360,343.0,0.4
361,343.0,0.4
362,447.0,0.4
363,447.0,0.4
364,359.0,0.5
365,359.0,0.5
366,455.0,0.5
367,455.0,0.5
368,505.0,0.3
369,505.0,0.3
370,465.0,0.3
371,465.0,0.3
372,433.0,0.5
373,433.0,0.5
374,555.0,0.5
375,555.0,0.5
376,488.0,0.5
377,488.0,0.5
378,505.0,0.5
379,505.0,0.5
380,404.0,0.5
381,404.0,0.5
382,506.0,0.5
383,506.0,0.5
384,417.0,0.4
385,417.0,0.4
386,363.0,0.4
387,363.0,0.4
388,404.0,0.4
389,404.0,0.4
390,486.0,0.4
391,486.0,0.4
392,465.0,0.35
393,465.0,0.35
394,481.0,0.3
395,481.0,0.3
396,484.0,0.3
397,484.0,0.3
398,525.0,0.59
399,525.0,0.59
400,526.0,0.59
401,526.0,0.59
402,492.0,0.4
403,492.0,0.4
404,503.0,0.4
405,503.0,0.4
406,508.0,0.5
407,508.0,0.5
408,552.0,0.5
409,552.0,0.5
410,495.0,0.5
411,495.0,0.5
412,490.0,0.5
413,490.0,0.5
414,523.0,0.4
415,523.0,0.4
416,528.0,0.4
417,528.0,0.4
418,484.0,0.5
419,484.0,0.5
420,483.0,0.5
421,483.0,0.5
422,482.0,0.5
423,496.5,0.5
424,528.0,0.5
425,511.0,0.5
426,544.0,0.52
427,527.0,0.52
428,504.0,0.4
429,504.0,0.4
430,352.0,0.4
431,352.0,0.4
432,502.0,0.6
433,526.0,0.6
434,404.0,0.5
435,477.0,0.5
436,528.0,0.5
437,506.0,0.5
438,483.0,0.4
439,483.0,0.4
440,523.0,0.4
441,523.0,0.4
442,476.0,0.3
443,476.0,0.3
444,485.0,0.3
445,485.0,0.3
446,469.0,0.6
447,469.0,0.6
448,554.0,0.6
449,554.0,0.6
450,516.0,0.8
451,522.0,0.8
452,552.0,0.6
453,565.0,0.6
454,457.0,0.43
455,505.0,0.43
456,549.0,0.2
457,498.0,0.2
458,424.0,0.4
459,526.0,0.4
460,431.0,0.4
461,431.0,0.4
462,353.0,0.4
463,353.0,0.4
464,468.0,0.6
465,468.0,0.6
466,571.0,0.6
467,571.0,0.6
468,523.0,0.5
469,523.0,0.5
470,428.0,0.5
471,428.0,0.5
472,534.0,0.4
473,534.0,0.4
474,528.0,0.4
475,528.0,0.4
476,398.0,0.6
477,398.0,0.6
478,506.0,0.6
479,506.0,0.6
480,474.0,0.5
481,466.0,0.5
482,537.0,0.5
483,530.0,0.5
484,466.0,0.5
485,490.0,0.5
486,442.0,0.7
487,442.0,0.7
488,442.0,0.7
489,442.0,0.7
490,465.0,0.45
491,465.0,0.45
492,507.0,0.45
493,507.0,0.45
494,380.0,0.6
495,380.0,0.6
496,338.5,0.6
497,338.5,0.6
498,488.0,0.7
499,488.0,0.7
500,379.0,0.7
501,379.0,0.7
502,523.0,0.54
503,523.0,0.54
504,475.0,0.54
505,475.0,0.54
506,522.0,0.5
507,522.0,0.5
508,477.0,0.5
509,477.0,0.5
510,447.0,0.7
511,471.0,0.7
512,381.0,0.6
513,438.0,0.6
514,419.0,0.5
515,419.0,0.5
516,455.0,0.5
517,455.0,0.5
518,480.0,0.5
519,451.0,0.5
520,497.0,0.6
521,547.0,0.6
522,463.0,0.4
523,507.0,0.4
524,421.0,0.7
525,556.0,0.7
526,520.0,0.4
