,P_Index,P_Value
0,0.007039394350711122,5.4
1,0.007307600936876711,5.4
2,0.006805858832656238,4.8
3,0.006357850119195399,4.8
4,0.00637321047643604,4.3
5,0.0070499157455622494,4.3
6,0.00820890780475032,5.2
7,0.008967982947553887,5.2
8,0.006606799194189211,5.4
9,0.0068799413850599645,5.4
10,0.007514371745625328,4.4
11,0.007314869227590594,4.4
12,0.006826154048716999,4.9
13,0.007373635490467191,4.9
14,0.0067148538863763185,4.5
15,0.007021221775600764,4.5
16,0.007890283380571954,4.5
17,0.006854920694242393,4.5
18,0.007376362236214632,4.2
19,0.007701319019250561,4.2
20,0.006315659793922213,4.0
21,0.006912725182344557,4.0
22,0.006292691199847835,6.0
23,0.005904570160030541,6.0
24,0.006511126133837764,4.5
25,0.006823775538020989,4.5
26,0.006308256652886701,3.7
27,0.006507749804511875,3.7
28,0.0064637678602914765,4.3
29,0.0060545745162411515,4.3
30,0.006092680995808859,4.0
31,0.006481723028602327,4.0
32,0.006295125226340526,3.9
33,0.00622244028152596,3.9
34,0.006771077470920659,4.0
35,0.006807450241421604,4.0
36,0.006858863866889068,5.2
37,0.006289046108783469,5.2
38,0.0067515616885736865,4.2
39,0.0070278919826775674,4.2
40,0.00842596987705358,4.1
41,0.008253400206537422,4.1
42,0.006717416369067706,4.9
43,0.0071619724533527745,4.9
44,0.006853886764771099,3.0
45,0.006760222526646291,3.0
46,0.00665620707793626,4.4
47,0.006430951404605517,4.4
48,0.006744666854750466,3.0
49,0.006966455100031923,3.0
50,0.007701367613283985,4.6
51,0.007788156009340013,4.6
52,0.008127180917721914,4.6
53,0.009764875921576252,4.6
54,0.006454531760319861,4.3
55,0.008212282396831238,4.3
56,0.0081877867370192,4.8
57,0.008303867079857866,4.8
58,0.009699891004856121,4.2
59,0.007502426565432444,4.2
60,0.008478163029399315,4.2
61,0.008502767825389772,4.2
62,0.00804428210976611,4.6
63,0.007647127771013049,4.6
64,0.008286658834765794,3.8
65,0.007535680078107035,3.8
66,0.008329740705679605,3.1
67,0.00670090461969842,3.1
68,0.008302517500019816,5.2
69,0.0074582282855554525,5.2
70,0.00698795101622446,4.5
71,0.007758622404953298,4.5
72,0.0073434763034888545,4.2
73,0.0065184128949074965,4.2
74,0.0069863739277725555,6.0
75,0.006472932378550782,6.0
76,0.006475590393447429,4.6
77,0.006080317243127322,4.6
78,0.007393397445462546,5.1
79,0.006462449758194899,5.1
80,0.0074055838579817805,6.5
81,0.007065916241247315,6.5
82,0.006886784747421448,4.5
83,0.006514618084137343,4.5
84,0.00724445728600317,4.7
85,0.006914076804118102,4.7
86,0.007301812408621264,4.3
87,0.006744615638722861,4.3
88,0.007193065417681443,4.2
89,0.0061864627061463525,4.2
90,0.006908698075073525,4.2
91,0.006761844298649975,4.2
92,0.006659894574310092,5.2
93,0.0068721907865897805,5.2
94,0.006692232199473808,4.0
95,0.00782733061505668,4.0
96,0.007290270458343339,3.6
97,0.006724439034198385,3.6
98,0.006722490363667716,3.2
99,0.006495035116444558,3.2
100,0.006599900898989861,5.0
101,0.008182176809432628,5.0
102,0.0073833002981966225,5.5
103,0.007843590558974236,5.5
104,0.006818068532190002,3.9
