Sample ID,Depth (Cm),PH (1:1),ECe (1:1)(mS/cm),OM %,P (ppm),,
110640,O,7.7,1.2,0.4,4.3,,
110640,I,7.8,0.99,0.43,4.1,,
110641,O,8,1.1,0.6,5.2,,
110641,I,7.8,1.2,0.52,5.1,,
110642,O,7.7,1.5,0.4,5.4,,
110642,I,7.8,1.44,0.42,5.2,,
110643,O,8.2,0.92,0.57,4.2,,
110643,I,8.2,0.88,0.5,4.4,,
110650,O,7.9,5,0.72,4.1,,
110650,I,7.9,1.1,0.67,6,,
110651,O,8,0.91,0.52,5.8,,
110651,I,7.9,1.1,0.52,4.5,,
110652,O,8.1,2.6,0.41,3.8,,
110652,I,7.9,2.1,0.47,3.7,,
110653,O,7.8,0.88,0.52,4.4,,
110653,I,7.9,0.93,0.52,4.3,,
110654,O,7.6,0.134,0.6,4.1,,
110654,I,7.7,0.15,0.65,4,,
110655,O,7.9,1.1,0.47,4.4,,
110655,I,8,0.84,0.55,3.9,,
110656,O,7.8,0.88,0.54,4.2,,
110656,I,7.9,0.73,0.57,4,,
110659,O,8.1,1.1,0.4,3.6,,
110659,I,8,0.96,0.41,4.1,,
110661,O,7.9,0.88,0.42,3.9,,
110661,I,8.1,0.74,0.39,3,,
110662,O,7.8,1.1,0.52,4.5,,
110662,I,7.9,1.01,0.53,4.4,,
110663,O,8.2,0.69,0.4,3.3,,
110663,I,8.2,0.92,0.45,3,,
110740,O,7.9,0.87,0.51,3.6,,
110740,I,8,0.92,0.52,3.1,,
110746,O,8.1,1.2,0.54,4.7,,
110746,I,7.9,1.06,0.57,4.5,,
110752,O,7.9,1.5,0.52,5,,
110752,I,7.8,1.32,0.48,5.1,,
110755,O,7.9,0.97,0.62,4.6,,
110755,I,8.1,1.33,0.51,4.5,,
110756,O,8,1.45,0.49,4.5,,
110756,I,7.9,1.1,0.52,4.7,,
110757,O,7.7,1.21,0.43,4.5,,
110757,I,7.6,1.53,0.47,4.3,,
110758,O,8,1.89,0.51,3.5,,
110758,I,7.9,1.74,0.43,3.5,,
110759,O,8.1,1.8,0.39,4.5,,
110759,I,8,1.74,0.35,4.2,,
110760,O,7.8,1.62,0.5,4.5,,
110760,I,7.9,0.77,0.41,4.2,,
110762,O,7.9,0.9,0.45,4.1,,
110762,I,8,1.05,0.36,4,,
110763,O,8.1,1.2,0.43,3.6,,
110763,I,8,0.66,0.5,4,,
110766,O,7.9,1.1,0.61,3.5,,
110766,I,8,0.91,0.53,3.2,,
123581,O,7.6,2.3,0.41,4.2,,
123581,I,7.8,1.17,0.45,4,,
123582,O,8.1,0.92,0.37,4.3,,
123582,I,8,1.1,0.53,4.4,,
123583,O,7.9,1.4,0.56,4.4,,
123583,I,7.8,1.1,0.57,4.7,,
123584,O,7.9,0.95,0.5,4.5,,
123584,I,7.7,0.88,0.52,4.2,,
123585,O,7.9,1.1,0.5,4.7,,
123585,I,7.9,1.12,0.55,4.5,,
123586,O,8.1,1.65,0.6,4.9,,
123586,I,8,1.57,0.53,5.2,,
123688,O,8,0.92,0.46,4.1,,
123688,I,7.9,0.88,0.51,4.3,,
123689,O,7.9,1.67,0.43,4.1,,
123689,I,7.8,1.81,0.45,4,,
123691,O,8.1,1.43,0.52,4.5,,
123691,I,7.9,1.2,0.47,4.1,,
123692,O,7.9,0.92,0.54,4.1,,
123692,I,8,0.88,0.49,4.6,,
123694,O,7.9,1.1,0.53,5.1,,
123694,I,8,1.11,0.46,5,,
123695,O,7.9,0.93,0.5,4.4,,
123695,I,7.8,1.1,0.4,4.2,,
123696,O,8.1,0.9,0.46,5.7,,
123696,I,7.9,1.3,0.5,5.3,,
123697,O,7.8,2.1,0.3,4.2,,
123697,I,7.9,2.3,0.43,4.5,,
123702,O,8.1,1.12,0.5,4.5,,
123702,I,8,0.91,0.49,4.2,,
123703,O,7.9,1.5,0.47,4.1,,
123703,I,8,1.65,0.43,4.2,,
123704,O,7.8,1.1,0.41,3.5,,
123704,I,7.9,1.09,0.54,3.7,,
123705,O,8.1,1.47,0.37,4.1,,
123705,I,8,1.5,0.43,4,,
123706,O,7.9,1.1,0.5,4.5,,
123706,I,8,1.09,0.48,4.8,,
123707,O,8.1,0.94,0.4,4.1,,
123707,I,8,1.1,0.42,4,,
123708,O,7.9,1.22,0.5,4.3,,
123708,I,7.8,1.13,0.51,5,,
123709,O,7.8,1.15,0.5,4.2,,
123709,I,7.9,1.08,0.42,4.1,,
123710,O,8,1.43,0.37,4.8,,
123710,I,8.1,1.57,0.38,4.7,,
123711,O,7.8,0.93,0.41,5.1,,
123711,I,7.9,0.88,0.5,5,,
123712,O,8,1.37,0.41,5.1,,
123712,I,7.9,1.09,0.4,4.8,,
123713,O,8.1,0.9,0.5,4,,
123713,I,8,0.89,0.52,3.8,,
123714,O,7.9,1.05,0.47,4.6,,
123714,I,7.8,1.05,0.45,5.6,,
123718,O,7.8,1.09,0.43,3.8,,
123718,I,7.9,1.12,0.45,4,,
123719,O,8.1,1.19,0.5,4.1,,
123719,I,7.9,1.09,0.44,4.2,,
123720,O,8,1.58,0.45,4.5,,
123720,I,7.8,1.77,0.55,4.1,,
110866,O,7.7,1.15,0.6,6.3,,
110866,I,7.8,1.21,0.55,5.6,,
110867,O,8,1.62,0.3,5,,
110867,I,7.9,1.77,0.45,4.8,,
110872,O,7.8,1.11,0.5,5.1,,
110872,I,7.7,1.02,0.44,5.2,,
110882,O,8.3,0.9,0.39,4.5,,
110882,I,8.2,1.44,0.47,4.1,,
110884,O,7.7,1.56,0.41,5.6,,
110884,I,7.8,1.09,0.57,5.2,,
110886,O,7.9,1.13,0.47,4.1,,
110886,I,7.8,1.09,0.52,4.3,,
110992,O,7.9,1.11,0.57,6.5,,
110992,I,8,1.13,0.55,5.8,,
110997,O,7.8,1.11,0.42,4.5,,
110997,I,7.9,0.96,0.41,4.3,,
111001,O,8.1,0.91,0.52,4,,
111001,I,8,1.09,0.47,4.1,,
111003,O,7.9,1.32,0.5,5,,
111003,I,7.8,1.83,0.49,4.8,,
