,Formula_Index,P_Value
318,450.0,7.2
319,450.0,7.2
320,528.0,3.7
321,528.0,3.7
322,528.0,3.7
323,528.0,3.7
324,465.0,5.1
325,465.0,5.1
326,530.0,5.1
327,530.0,5.1
328,508.0,5.5
329,508.0,5.5
330,437.0,5.5
331,437.0,5.5
332,533.0,5.5
333,533.0,5.5
334,463.0,5.5
335,463.0,5.5
336,488.0,5.5
337,488.0,5.5
338,478.0,5.5
339,478.0,5.5
340,371.0,6.0
341,371.0,6.0
342,338.0,6.0
343,338.0,6.0
344,419.0,5.0
345,419.0,5.0
346,384.0,5.0
347,384.0,5.0
348,488.0,5.1
349,488.0,5.1
350,485.0,5.1
351,485.0,5.1
352,452.0,3.9
353,452.0,3.9
354,431.0,3.9
355,431.0,3.9
356,402.0,6.6
357,402.0,6.6
358,487.0,6.6
359,487.0,6.6
360,343.0,5.3
361,343.0,5.3
362,447.0,5.3
363,447.0,5.3
364,359.0,6.0
365,359.0,6.0
366,455.0,6.0
367,455.0,6.0
368,505.0,5.8
369,505.0,5.8
370,465.0,5.8
371,465.0,5.8
372,433.0,4.8
373,433.0,4.8
374,555.0,4.8
375,555.0,4.8
376,488.0,6.8
377,488.0,6.8
378,505.0,6.8
379,505.0,6.8
380,404.0,4.8
381,404.0,4.8
382,506.0,4.8
383,506.0,4.8
384,417.0,5.2
385,417.0,5.2
386,363.0,5.2
387,363.0,5.2
388,404.0,5.5
389,404.0,5.5
390,486.0,5.5
391,486.0,5.5
392,465.0,3.5
393,465.0,3.5
394,481.0,3.2
395,481.0,3.2
396,484.0,3.2
397,484.0,3.2
398,525.0,8.0
399,525.0,8.0
400,526.0,8.0
401,526.0,8.0
402,492.0,4.8
403,492.0,4.8
404,503.0,4.8
405,503.0,4.8
406,508.0,5.8
407,508.0,5.8
408,552.0,5.8
409,552.0,5.8
410,495.0,8.0
411,495.0,8.0
412,490.0,8.0
413,490.0,8.0
414,523.0,7.5
415,523.0,7.5
416,528.0,7.5
417,528.0,7.5
418,484.0,7.5
419,484.0,7.5
420,483.0,7.5
421,483.0,7.5
422,482.0,6.9
423,496.5,6.9
424,528.0,6.2
425,511.0,6.2
426,544.0,6.6
427,527.0,6.6
428,504.0,8.3
429,504.0,8.3
430,352.0,8.3
431,352.0,8.3
432,502.0,4.3
433,526.0,4.3
434,404.0,7.4
435,477.0,7.4
436,528.0,7.0
437,506.0,7.0
438,483.0,5.6
439,483.0,5.6
440,523.0,5.6
441,523.0,5.6
442,476.0,4.0
443,476.0,4.0
444,485.0,4.0
445,485.0,4.0
446,469.0,6.0
