,Formula_Index,EC_Value
318,450.0,0.17
319,450.0,0.17
320,528.0,9.3
321,528.0,9.3
322,528.0,9.3
323,528.0,9.3
324,465.0,15.6
325,465.0,15.6
326,530.0,15.6
327,530.0,15.6
328,508.0,1.25
329,508.0,1.25
330,437.0,1.25
331,437.0,1.25
332,533.0,3.91
333,533.0,3.91
334,463.0,3.91
335,463.0,3.91
336,488.0,0.2
337,488.0,0.2
338,478.0,0.2
339,478.0,0.2
340,371.0,1.92
341,371.0,1.92
342,338.0,1.92
343,338.0,1.92
344,419.0,1.19
345,419.0,1.19
346,384.0,1.19
347,384.0,1.19
348,488.0,0.25
349,488.0,0.25
350,485.0,0.25
351,485.0,0.25
352,452.0,0.11
353,452.0,0.11
354,431.0,0.11
355,431.0,0.11
356,402.0,0.93
357,402.0,0.93
358,487.0,0.93
359,487.0,0.93
360,343.0,0.29
361,343.0,0.29
362,447.0,0.29
363,447.0,0.29
364,359.0,1.64
365,359.0,1.64
366,455.0,1.64
367,455.0,1.64
368,505.0,0.24
369,505.0,0.24
370,465.0,0.24
371,465.0,0.24
372,433.0,0.42
373,433.0,0.42
374,555.0,0.42
375,555.0,0.42
376,488.0,0.23
377,488.0,0.23
378,505.0,0.23
379,505.0,0.23
380,404.0,0.85
381,404.0,0.85
382,506.0,0.85
383,506.0,0.85
384,417.0,0.12
385,417.0,0.12
386,363.0,0.12
387,363.0,0.12
388,404.0,0.14
389,404.0,0.14
390,486.0,0.14
391,486.0,0.14
392,465.0,0.26
393,465.0,0.26
394,481.0,0.25
395,481.0,0.25
396,484.0,0.25
397,484.0,0.25
398,525.0,0.31
399,525.0,0.31
400,526.0,0.31
401,526.0,0.31
402,492.0,3.39
403,492.0,3.39
404,503.0,3.39
405,503.0,3.39
406,508.0,1.12
407,508.0,1.12
408,552.0,1.12
409,552.0,1.12
410,495.0,0.77
411,495.0,0.77
412,490.0,0.77
413,490.0,0.77
414,523.0,0.82
415,523.0,0.82
416,528.0,0.82
417,528.0,0.82
418,484.0,1.74
419,484.0,1.74
420,483.0,1.74
421,483.0,1.74
422,482.0,2.4
423,496.5,2.4
424,528.0,1.17
425,511.0,1.17
426,544.0,1.93
427,527.0,1.93
428,504.0,0.41
429,504.0,0.41
430,352.0,0.41
431,352.0,0.41
432,502.0,11.5
433,526.0,11.5
434,404.0,0.42
435,477.0,0.42
436,528.0,0.23
437,506.0,0.23
438,483.0,0.23
439,483.0,0.23
440,523.0,0.23
441,523.0,0.23
442,476.0,0.19
443,476.0,0.19
444,485.0,0.19
445,485.0,0.19
446,469.0,0.22
447,469.0,0.22
448,554.0,0.22
449,554.0,0.22
450,516.0,0.8
451,522.0,0.8
452,552.0,1.6
453,565.0,1.6
454,457.0,1.5
455,505.0,1.5
456,549.0,0.72
457,498.0,0.72
458,424.0,0.58
459,526.0,0.58
460,431.0,2.2
461,431.0,2.2
462,353.0,2.2
463,353.0,2.2
464,468.0,1.34
465,468.0,1.34
466,571.0,1.34
467,571.0,1.34
468,523.0,0.73
469,523.0,0.73
470,428.0,0.73
471,428.0,0.73
472,534.0,0.55
473,534.0,0.55
474,528.0,0.55
475,528.0,0.55
476,398.0,0.94
477,398.0,0.94
478,506.0,0.94
479,506.0,0.94
480,474.0,0.56
481,466.0,0.56
482,537.0,0.23
483,530.0,0.23
484,466.0,0.85
485,490.0,0.85
486,442.0,0.25
487,442.0,0.25
488,442.0,0.25
489,442.0,0.25
490,465.0,0.58
491,465.0,0.58
492,507.0,0.58
493,507.0,0.58
494,380.0,1.01
495,380.0,1.01
496,338.5,1.01
497,338.5,1.01
