,pH_Index,OM_Value
0,0.007039394350711122,0.52
1,0.007307600936876711,0.52
2,0.006805858832656238,0.59
3,0.006357850119195399,0.59
4,0.00637321047643604,0.4
5,0.0070499157455622494,0.4
6,0.00820890780475032,0.6
7,0.008967982947553887,0.6
8,0.006606799194189211,0.4
9,0.0068799413850599645,0.4
10,0.007514371745625328,0.5
11,0.007314869227590594,0.5
12,0.006826154048716999,0.57
13,0.007373635490467191,0.57
14,0.0067148538863763185,0.5
15,0.007021221775600764,0.5
16,0.007890283380571954,0.64
17,0.006854920694242393,0.64
18,0.007376362236214632,0.41
19,0.007701319019250561,0.41
20,0.006315659793922213,0.58
21,0.006912725182344557,0.58
22,0.006292691199847835,0.67
23,0.005904570160030541,0.67
24,0.006511126133837764,0.52
25,0.006823775538020989,0.52
26,0.006308256652886701,0.47
27,0.006507749804511875,0.47
28,0.0064637678602914765,0.52
29,0.0060545745162411515,0.52
30,0.006092680995808859,0.65
31,0.006481723028602327,0.65
32,0.006295125226340526,0.55
33,0.00622244028152596,0.55
34,0.006771077470920659,0.57
35,0.006807450241421604,0.57
36,0.006858863866889068,0.44
37,0.006289046108783469,0.44
38,0.0067515616885736865,0.52
39,0.0070278919826775674,0.52
40,0.00842596987705358,0.41
41,0.008253400206537422,0.41
42,0.006717416369067706,0.52
43,0.0071619724533527745,0.52
44,0.006853886764771099,0.39
45,0.006760222526646291,0.39
46,0.00665620707793626,0.53
47,0.006430951404605517,0.53
48,0.006744666854750466,0.45
49,0.006966455100031923,0.45
50,0.007701367613283985,0.6
51,0.007788156009340013,0.6
52,0.008127180917721914,0.61
53,0.009764875921576252,0.61
54,0.006454531760319861,0.52
55,0.008212282396831238,0.52
56,0.0081877867370192,0.5
57,0.008303867079857866,0.5
58,0.009699891004856121,0.43
59,0.007502426565432444,0.43
60,0.008478163029399315,0.36
61,0.008502767825389772,0.36
62,0.00804428210976611,0.55
63,0.007647127771013049,0.55
64,0.008286658834765794,0.45
65,0.007535680078107035,0.45
66,0.008329740705679605,0.52
67,0.00670090461969842,0.52
68,0.008302517500019816,0.65
69,0.0074582282855554525,0.65
70,0.00698795101622446,0.57
71,0.007758622404953298,0.57
72,0.0073434763034888545,0.6
73,0.0065184128949074965,0.6
74,0.0069863739277725555,0.5
75,0.006472932378550782,0.5
76,0.006475590393447429,0.85
77,0.006080317243127322,0.85
78,0.007393397445462546,0.48
79,0.006462449758194899,0.48
80,0.0074055838579817805,0.6
81,0.007065916241247315,0.6
82,0.006886784747421448,0.51
83,0.006514618084137343,0.51
84,0.00724445728600317,0.52
85,0.006914076804118102,0.52
86,0.007301812408621264,0.47
87,0.006744615638722861,0.47
88,0.007193065417681443,0.35
89,0.0061864627061463525,0.35
90,0.006908698075073525,0.41
91,0.006761844298649975,0.41
92,0.006659894574310092,0.64
93,0.0068721907865897805,0.64
94,0.006692232199473808,0.36
95,0.00782733061505668,0.36
96,0.007290270458343339,0.43
97,0.006724439034198385,0.43
98,0.006722490363667716,0.53
99,0.006495035116444558,0.53
100,0.006599900898989861,0.5
101,0.008182176809432628,0.5
102,0.0073833002981966225,0.5
103,0.007843590558974236,0.5
104,0.006818068532190002,0.48
105,0.008423395873239469,0.48
106,0.009460560964198898,0.5
107,0.008608559384636859,0.5
108,0.006429467646912199,0.45
109,0.00806464682166401,0.45
110,0.008589794803620567,0.48
111,0.009103038773636897,0.48
112,0.008427641992320434,0.54
113,0.01004384190847969,0.54
114,0.006717831316761988,0.47
115,0.008630497707120871,0.47
116,0.007292571160430866,0.41
117,0.00888103625583995,0.41
118,0.009100627737462293,0.67
119,0.007045200971880933,0.67
120,0.010196169843721473,0.55
121,0.00706474834329938,0.55
122,0.008547023434687362,0.71
123,0.007336058600463751,0.71
124,0.007616263963014175,0.88
125,0.0067177267144593435,0.88
126,0.008114594949914622,0.83
127,0.009965575587255927,0.83
128,0.007552614443461626,0.78
129,0.007678573456217498,0.78
130,0.007708432783055699,0.86
131,0.008570061274867452,0.86
132,0.007692135968774942,0.67
133,0.008532014773597305,0.67
134,0.007975370694916063,0.52
135,0.007266058049501814,0.52
136,0.006653394785750879,0.47
137,0.006627233070348906,0.47
138,0.007790479209710779,0.4
139,0.008756304932539372,0.4
140,0.010979161108517004,0.78
141,0.008150446559288841,0.78
142,0.0069743186112198,0.6
143,0.0069527517136744885,0.6
144,0.006833947904159181,0.45
145,0.006320698136547339,0.45
146,0.006289271758567821,0.67
147,0.006581556709083522,0.67
148,0.006241022104648725,0.41
149,0.006471981404667629,0.41
150,0.006530291715629215,0.62
151,0.007117819870610429,0.62
152,0.006870736758451558,0.5
153,0.007248175977350578,0.5
154,0.006287326279578432,0.56
155,0.007445308927128068,0.56
156,0.007138229204427312,0.47
157,0.00651099539244581,0.47
158,0.006576917781419259,0.6
159,0.006560171999306879,0.6
160,0.007503691377910276,0.57
161,0.007295038733763339,0.57
162,0.006565759544874453,0.52
163,0.00679695799803092,0.52
164,0.008954821791559748,0.83
165,0.008218023368520141,0.83
166,0.008133757396804045,0.72
167,0.009994425497549007,0.72
168,0.007772940822322884,0.78
169,0.006581493448693989,0.78
170,0.009361535630357704,0.5
171,0.009749538962245027,0.5
172,0.009335952276433714,0.57
173,0.009995664084191575,0.57
174,0.007124128222800145,0.7
175,0.007203260866879802,0.7
176,0.008212062849264862,0.66
177,0.006539377951935318,0.66
178,0.007493151584460135,0.83
179,0.007932552904534585,0.83
180,0.007933858787238594,0.72
181,0.008032102204772741,0.72
182,0.009462055566673271,0.72
183,0.008477586448267148,0.72
184,0.007761514099389943,0.67
185,0.008296146540663426,0.67
186,0.00967456801026492,0.78
187,0.009049141881326307,0.78
188,0.011025757763173686,0.88
189,0.008716513575462879,0.88
190,0.00798097337960772,0.76
191,0.007398467168367059,0.76
192,0.007226819437747778,0.81
193,0.007817658339910874,0.81
194,0.00783616168519264,0.83
195,0.007300690593913467,0.83
196,0.008397367254287035,0.88
197,0.008743059176622946,0.88
198,0.009023893713063632,0.67
199,0.007747506768846741,0.67
200,0.008149641648064488,0.62
201,0.007718418937086909,0.62
202,0.006279844206602048,0.57
203,0.007263991463446482,0.57
204,0.00678068734840182,0.57
205,0.008506088282783493,0.57
206,0.00788763893837234,0.52
207,0.009673811322718289,0.52
208,0.006782082860191735,0.47
209,0.008240144656323495,0.47
210,0.008921680204365345,0.63
211,0.006804140032566597,0.63
212,0.006531512063939665,0.41
213,0.00712291624823098,0.41
214,0.006726846704164322,0.72
215,0.0068598516136032335,0.72
216,0.006697276587846589,0.47
217,0.006448671578265646,0.47
218,0.006206843252619732,0.49
219,0.006845342310911945,0.49
220,0.006171616176538301,0.5
221,0.006298891263947662,0.5
222,0.006415258608520411,0.3
223,0.006697822507709451,0.3
224,0.006836383075090854,0.62
225,0.006976034343350501,0.62
226,0.006960959538643537,0.49
227,0.006962182579914553,0.49
228,0.007863885272997114,0.5
229,0.007414203744011502,0.5
230,0.006881109347289803,0.34
231,0.0063671709237006725,0.34
232,0.008332021073234929,0.34
233,0.007734271570701804,0.34
234,0.007614109139510062,0.71
235,0.008249718139993274,0.71
236,0.0066138220640697765,0.41
237,0.006692446883568521,0.41
238,0.007871512106458693,0.41
239,0.006711664511829606,0.41
240,0.007541419767102185,0.4
241,0.009089772648688673,0.4
242,0.007083686150566408,0.4
243,0.008067385866801951,0.4
244,0.006909090366697907,0.4
245,0.006333952052536485,0.4
246,0.009086268426039375,0.4
247,0.007479540885221843,0.4
248,0.007216609139905358,0.3
249,0.008481395532994582,0.3
250,0.006192718966871637,0.5
251,0.0073917417691502785,0.5
252,0.007768157825073859,0.4
253,0.007768157825073859,0.4
254,0.007138414142306344,0.4
255,0.007138414142306344,0.4
256,0.006771467093109749,0.6
257,0.006550326828483342,0.6
258,0.006083576946458926,0.3
259,0.007299648235986787,0.3
260,0.006945790812789918,0.5
261,0.006247208658260936,0.5
262,0.006215114991780858,0.4
263,0.006215114991780858,0.4
264,0.007190735992824411,0.4
265,0.007190735992824411,0.4
266,0.007311837425130622,0.5
267,0.0072968000614891965,0.5
268,0.006596824647888864,0.5
269,0.00651534651664889,0.5
270,0.006992535190268543,0.5
271,0.006462357731805158,0.5
272,0.008711323893511268,0.7
273,0.008711323893511268,0.7
274,0.008285247347143365,0.7
275,0.008285247347143365,0.7
276,0.006817742228647323,0.6
277,0.0070721920505562984,0.6
278,0.008585050104419878,0.7
279,0.0070268894307985545,0.7
280,0.009664048552906953,0.6
281,0.009664048552906953,0.6
282,0.008774171896266862,0.6
283,0.008774171896266862,0.6
284,0.005739898705490229,0.4
285,0.005739898705490229,0.4
286,0.006283980303856369,0.4
287,0.006283980303856369,0.4
288,0.007782767871613977,0.6
289,0.007782767871613977,0.6
290,0.007096221484772806,0.6
