,P_Index,P_Value
301,418.0,3.45
302,263.0,3.45
303,439.0,3.35
304,380.0,3.35
305,440.0,3.5
306,503.0,3.5
307,252.0,3.35
308,481.0,3.35
309,323.0,4.1
310,383.0,4.1
311,354.0,4.35
312,392.0,4.35
313,486.0,4.550000000000001
314,343.0,4.550000000000001
315,198.0,4.35
316,147.0,4.35
317,392.0,4.6
318,482.0,4.6
319,374.0,5.050000000000001
320,193.0,5.050000000000001
321,509.0,5.25
322,460.0,5.25
323,482.0,4.65
324,473.0,4.65
325,474.0,4.05
326,627.0,4.05
327,526.0,5.05
328,486.0,5.05
329,465.0,5.15
330,607.0,5.15
331,482.0,5.25
332,520.0,5.25
333,505.0,4.449999999999999
334,505.0,4.449999999999999
335,589.0,4.35
336,575.0,4.35
337,196.0,4.199999999999999
338,563.0,4.199999999999999
339,532.0,4.05
340,201.0,4.05
341,403.0,4.3
342,367.0,4.3
343,417.0,4.35
344,457.0,4.35
345,396.0,5.05
346,351.0,5.05
347,196.0,4.300000000000001
348,286.0,4.300000000000001
349,190.0,5.5
350,174.0,5.5
351,486.0,4.35
352,504.0,4.35
353,476.0,5.75
354,508.0,5.75
355,528.0,5.1
356,539.0,5.1
357,477.0,5.5
358,543.0,5.5
359,485.0,4.9
360,546.0,4.9
361,267.0,4.35
362,267.0,4.35
363,443.0,4.15
364,429.0,4.15
365,339.0,3.6
366,198.0,3.6
367,401.0,4.05
368,327.0,4.05
369,343.0,4.65
370,280.0,4.65
371,395.0,4.05
372,244.0,4.05
373,316.0,4.65
374,443.0,4.65
375,574.5,4.15
376,316.0,4.15
377,414.0,4.75
378,340.0,4.75
379,420.0,5.05
380,422.0,5.05
381,465.0,4.949999999999999
382,376.0,4.949999999999999
383,390.0,3.9
384,414.0,3.9
385,393.0,5.1
386,443.0,5.1
387,360.0,3.9
388,353.0,3.9
389,424.0,4.15
390,274.0,4.15
391,428.0,4.3
392,434.0,4.3
393,414.0,6.199999999999999
394,430.0,6.199999999999999
395,294.0,6.25
396,376.0,6.25
397,511.0,5.699999999999999
398,316.0,5.699999999999999
399,423.0,6.4
400,430.0,6.4
401,596.0,6.75
402,357.0,6.75
403,465.0,5.55
404,566.0,5.55
405,318.0,4.65
406,276.0,4.65
407,562.0,4.65
408,448.0,4.65
409,474.0,4.949999999999999
410,546.0,4.949999999999999
411,407.0,3.4000000000000004
412,429.0,3.4000000000000004
413,491.0,3.45
414,531.0,3.45
415,557.0,4.8
416,356.0,4.8
417,578.0,4.15
418,584.0,4.15
419,525.0,4.4
420,485.0,4.4
421,516.0,5.0
422,518.0,5.0
423,562.0,4.9
424,567.0,4.9
425,491.0,4.5
426,426.0,4.5
427,345.0,6.6
428,467.0,6.6
429,407.0,6.25
430,181.0,6.25
431,312.0,6.1
432,179.0,6.1
433,485.0,5.05
434,399.0,5.05
435,539.0,5.4
436,520.0,5.4
437,531.0,4.9
438,535.0,4.9
439,460.0,5.4
440,490.0,5.4
441,514.0,4.6
442,559.0,4.6
443,538.0,5.3
444,558.0,5.3
445,456.0,5.55
446,485.0,5.55
447,413.0,6.35
448,546.0,6.35
449,510.0,5.25
450,266.0,5.25
451,567.0,5.35
452,452.0,5.35
453,432.0,4.949999999999999
