,pH_Index,EC_Value
0,0.007039394350711122,0.54
1,0.007307600936876711,0.54
2,0.006805858832656238,0.55
3,0.006357850119195399,0.55
4,0.00637321047643604,1.2
5,0.0070499157455622494,1.2
6,0.00820890780475032,1.1
7,0.008967982947553887,1.1
8,0.006606799194189211,1.5
9,0.0068799413850599645,1.5
10,0.007514371745625328,0.88
11,0.007314869227590594,0.88
12,0.006826154048716999,0.351
13,0.007373635490467191,0.351
14,0.0067148538863763185,1.21
15,0.007021221775600764,1.21
16,0.007890283380571954,0.98
17,0.006854920694242393,0.98
18,0.007376362236214632,1.62
19,0.007701319019250561,1.62
20,0.006315659793922213,1.14
21,0.006912725182344557,1.14
22,0.006292691199847835,1.1
23,0.005904570160030541,1.1
24,0.006511126133837764,1.1
25,0.006823775538020989,1.1
26,0.006308256652886701,2.1
27,0.006507749804511875,2.1
28,0.0064637678602914765,0.93
29,0.0060545745162411515,0.93
30,0.006092680995808859,0.15
31,0.006481723028602327,0.15
32,0.006295125226340526,0.84
33,0.00622244028152596,0.84
34,0.006771077470920659,0.73
35,0.006807450241421604,0.73
36,0.006858863866889068,0.71
37,0.006289046108783469,0.71
38,0.0067515616885736865,0.91
39,0.0070278919826775674,0.91
40,0.00842596987705358,0.96
41,0.008253400206537422,0.96
42,0.006717416369067706,0.85
43,0.0071619724533527745,0.85
44,0.006853886764771099,0.74
45,0.006760222526646291,0.74
46,0.00665620707793626,1.01
47,0.006430951404605517,1.01
48,0.006744666854750466,0.92
49,0.006966455100031923,0.92
50,0.007701367613283985,0.96
51,0.007788156009340013,0.96
52,0.008127180917721914,1.6
53,0.009764875921576252,1.6
54,0.006454531760319861,1.68
55,0.008212282396831238,1.68
56,0.0081877867370192,1.09
57,0.008303867079857866,1.09
58,0.009699891004856121,1.09
59,0.007502426565432444,1.09
60,0.008478163029399315,1.45
61,0.008502767825389772,1.45
62,0.00804428210976611,1.09
63,0.007647127771013049,1.09
64,0.008286658834765794,0.84
65,0.007535680078107035,0.84
66,0.008329740705679605,0.92
67,0.00670090461969842,0.92
68,0.008302517500019816,1.95
69,0.0074582282855554525,1.95
70,0.00698795101622446,1.06
71,0.007758622404953298,1.06
72,0.0073434763034888545,1.95
73,0.0065184128949074965,1.95
74,0.0069863739277725555,1.3
75,0.006472932378550782,1.3
76,0.006475590393447429,1.01
77,0.006080317243127322,1.01
78,0.007393397445462546,1.32
79,0.006462449758194899,1.32
80,0.0074055838579817805,1.29
81,0.007065916241247315,1.29
82,0.006886784747421448,1.33
83,0.006514618084137343,1.33
84,0.00724445728600317,1.1
85,0.006914076804118102,1.1
86,0.007301812408621264,1.53
87,0.006744615638722861,1.53
88,0.007193065417681443,1.74
89,0.0061864627061463525,1.74
90,0.006908698075073525,0.77
91,0.006761844298649975,0.77
92,0.006659894574310092,2.17
93,0.0068721907865897805,2.17
94,0.006692232199473808,1.05
95,0.00782733061505668,1.05
96,0.007290270458343339,1.2
97,0.006724439034198385,1.2
98,0.006722490363667716,0.91
99,0.006495035116444558,0.91
100,0.006599900898989861,1.19
101,0.008182176809432628,1.19
102,0.0073833002981966225,4.05
103,0.007843590558974236,4.05
104,0.006818068532190002,1.15
105,0.008423395873239469,1.15
106,0.009460560964198898,0.26
107,0.008608559384636859,0.26
108,0.006429467646912199,0.98
109,0.00806464682166401,0.98
110,0.008589794803620567,1.53
111,0.009103038773636897,1.53
112,0.008427641992320434,1.08
113,0.01004384190847969,1.08
114,0.006717831316761988,1.53
115,0.008630497707120871,1.53
116,0.007292571160430866,1.85
117,0.00888103625583995,1.85
118,0.009100627737462293,1.22
119,0.007045200971880933,1.22
120,0.010196169843721473,0.8
121,0.00706474834329938,0.8
122,0.008547023434687362,0.81
123,0.007336058600463751,0.81
124,0.007616263963014175,0.93
125,0.0067177267144593435,0.93
126,0.008114594949914622,0.81
127,0.009965575587255927,0.81
128,0.007552614443461626,1.0
129,0.007678573456217498,1.0
130,0.007708432783055699,0.98
131,0.008570061274867452,0.98
132,0.007692135968774942,1.01
133,0.008532014773597305,1.01
